"MovieName","Year","Director","SummaryLength","AactorLength","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"전망 좋은 방 - 밀애",2012,"이세일",2,3,"멜로/로맨스","드라마","백세리","주연","이득진","주연","조용복","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"또 하나의 약속",2013,"김태윤",1,11,"드라마","박철민","주연","윤유선","주연","김규리","주연","박희정","주연","유세형","주연","이경영","주연","정영기","조연","김영재","조연","정진영","조연","강진아","조연","김선영","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"첫 데이트",2012,"곽은미",1,3,"드라마","문희라","주연","엄영훈","주연","최청자","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"창공을 향해",2011,"김태래",1,2,"애니메이션",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"낚시",2012,"서진석",2,3,"드라마","멜로/로맨스","양은용","주연","유승목","주연","이경훈","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"천국의 국경을 넘다 2",2011,"고동균",1,4,"다큐멘터리","전수련","주연","송성국","주연","김성은","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"깊이에의 강요",2012,"최승철",1,3,"실험","김희정","주연","이연","주연","윤상범","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"롤러코스터",2013,"하정우",1,12,"코미디","정경호","주연","한성천","주연","김재화","조연","최규환","조연","김기천","조연","김병옥","조연","강신철","조연","고성희","조연","이지훈","조연","손화령","조연","김재영","조연","김예랑","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"앨리스 : 원더랜드에서 온 소년",2015,"허은희",3,11,"판타지","공포","멜로/로맨스","홍종현","주연","정소민","주연","정연주","주연","이승연","조연","박현숙","조연","서갑숙","조연","장서원","조연","김준형","조연","이고은","조연","김하린","조연","손종범","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"한 번도 안 해본 여자",2013,"안철호",2,15,"멜로/로맨스","코미디","황우슬혜","주연","김사희","주연","김진우","주연","김종석","주연","민성욱","주연","오민석","주연","공호석","조연","최승일","조연","전재형","조연","설지윤","조연","안여진","조연","김정미","조연","송규현","조연","장원종","조연","조순재","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"이웃집 꽃미남",2013,"정정화",3,13,"멜로/로맨스","코미디","드라마","박신혜","주연","윤시윤","주연","김지훈","주연","박수진","조연","고경표","조연","미즈타 코우키","조연","김정산","조연","김윤혜","조연","이대연","조연","김소이","조연","김슬기","조연","김다예","조연","김충길","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"나의 독재자",2014,"이해준",1,18,"드라마","설경구","주연","박해일","주연","윤제문","조연","이병준","조연","류혜영","조연","이규형","조연","박민수","조연","손영순","조연","배성우","조연","손상경","조연","전국환","조연","이준혁","조연","정인겸","조연","김세동","조연","정해균","조연","김은희","조연","장현석","조연","김진곤","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHE",2010,"예승",1,3,"블랙코미디","예승","주연","조찬형","주연","김산","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"저 만치에",2012,"김성민",1,3,"드라마","성민수","주연","김수현","주연","배선희","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"루이비똥",2010,"이상호",1,4,"드라마","김현정","주연","이현우","주연","김영진","조연","송기찬","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"롤리흘라흘라: 말썽꾸러기",2012,"임혜영",2,4,"코미디","드라마","동방우","주연","황보라","주연","오성택","주연","이다경","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"헬리오스",2012,"김현무",3,2,"SF","모험","드라마","하세진","주연","한이진","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"달나라 여행",2012,"해환",2,6,"뮤지컬","코미디","해환","주연","박시현","주연","한재우","주연","김다예","주연","김지훈","주연","박승희","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"파이스토리 : 악당상어 소탕작전",2012,"마크 A.Z. 디페",2,6,"애니메이션","모험","드레이크 벨","주연","앤디 딕","주연","프란 드레셔","조연","프랭키 조나스","조연","제이미 케네디","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"내가 먼저 농담을 시작했다",2012,"노진수",3,7,"느와르","미스터리","범죄","이얼","주연","김민기","주연","하경민","주연","박인수","조연","배준우","조연","최민지","조연","김홍근","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"그 여자 그 남자의 속사정",2012,"이윤형",2,8,"멜로/로맨스","코미디","정다혜","주연","연제욱","주연","서지석","주연","이상일","주연","한설아","조연","김기천","조연","이민웅","조연","정하늬","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-2001서태지밴드라이브콘서트 태지의화",2012,"서태지",1,5,"다큐멘터리","서태지","주연","탑","조연","최창록","조연","박상욱","조연","HEFF","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"잔혹한 앵글의 로망스",2012,"고락중",2,2,"미스터리","멜로/로맨스","한기윤","주연","미나","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"타인의 멜로디",2013,"양영철",1,5,"드라마","서지승","주연","편보승","주연","이유경","주연","임상준","주연","김진호","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"세계일주",2012,"이항배",3,16,"모험","코미디","드라마","김정태","주연","박하영","주연","구승현","주연","성유빈","조연","타이거 JK","조연","최정우","조연","황화순","조연","고인범","조연","손여은","조연","김무경","조연","이소윤","조연","김지경","조연","태인호","조연","한근섭","조연","김보빈","조연","지대한","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"네남자",2012,"임규철",1,4,"스릴러","이규빈","주연","이영석","주연","전현준","주연","이경수","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"철로",2012,"임규철",1,3,"드라마","김경준","주연","김지은","주연","김정은","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"여우비",2012,"한상진",1,3,"드라마","양이준","주연","김민영","주연","박서광","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"널 만나러 가는 길",2012,"송영전",1,3,"다큐멘터리","하동균","주연","이성우","주연","송영전","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"당신이 몰랐던 것들",2013,"이제민",2,2,"드라마","멜로/로맨스","지웅","주연","김경원","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
